         11929346 function calls (11503602 primitive calls) in 10.075 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   112314    1.312    0.000    1.584    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\constant_op.py:74(convert_to_eager_tensor)
    97090    1.208    0.000    1.208    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
209754/79450    0.463    0.000    6.462    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\dispatch.py:1068(op_dispatch_handler)
      802    0.373    0.000    0.373    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
158372/158291    0.353    0.000    3.068    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1636(convert_to_tensor)
    32552    0.324    0.000    4.770    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:906(_slice_helper)
485005/480666    0.237    0.000    0.281    0.000 {built-in method builtins.getattr}
   286935    0.225    0.000    0.225    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:927(executing_eagerly)
238359/79616    0.207    0.000    7.031    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\traceback_utils.py:138(error_handler)
1806975/1806612    0.173    0.000    0.286    0.000 {built-in method builtins.isinstance}
40952/201    0.168    0.000    0.310    0.002 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\xml\etree\ElementTree.py:871(_serialize_xml)
        1    0.150    0.150    0.150    0.150 {built-in method tensorflow.python._pywrap_tfe.TF_ListPhysicalDevices}
   102293    0.141    0.000    0.151    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
   128238    0.134    0.000    0.134    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:175(__eq__)
   112331    0.114    0.000    1.865    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\constant_op.py:271(_constant_impl)
158372/158291    0.096    0.000    3.164    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\profiler\trace.py:154(wrapped)
    73381    0.093    0.000    0.249    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6692(name_scope)
    97674    0.086    0.000    0.359    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:1524(_should_not_autopack)
     2201    0.084    0.000    0.201    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:897(_set_board_fen)
40193/33021    0.077    0.000    0.080    0.000 {built-in method _abc._abc_subclasscheck}
    32705    0.075    0.000    0.143    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6945(__enter__)
        1    0.073    0.073    0.073    0.073 {built-in method tensorflow.python.grappler._pywrap_tf_cluster.TF_NewCluster}
    12576    0.073    0.000    0.573    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:1509(_truediv_python3)
    97656    0.071    0.000    2.597    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:1374(stack)
   113230    0.069    0.000    0.069    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:949(device_name)
    26372    0.067    0.000    1.035    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:1398(binary_op_wrapper)
   253273    0.063    0.000    0.077    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   154709    0.059    0.000    0.078    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1193(dtype)
    32552    0.059    0.000    0.572    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\gen_array_ops.py:10521(strided_slice)
    65286    0.059    0.000    0.059    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:944(scope_name)
    48966    0.059    0.000    0.059    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   238430    0.058    0.000    0.213    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\traceback_utils.py:32(is_traceback_filtering_enabled)
      201    0.057    0.000    0.090    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\xml\etree\ElementTree.py:810(_namespaces)
   112368    0.057    0.000    0.088    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_conversion_registry.py:112(get)
     3720    0.056    0.000    0.710    0.000 {built-in method builtins.max}
   112314    0.053    0.000    1.637    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\constant_op.py:302(_constant_eager_impl)
    95298    0.051    0.000    0.133    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\context.py:2087(executing_eagerly)
   102584    0.051    0.000    0.202    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\util\nest.py:353(flatten)
   100396    0.049    0.000    0.097    0.000 {built-in method builtins.all}
      201    0.049    0.000    0.563    0.003 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\svg.py:146(board)
   112331    0.048    0.000    1.913    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\constant_op.py:170(constant)
    32152    0.047    0.000    5.552    0.000 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:195(Q)
    12576    0.046    0.000    3.052    0.000 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:220(normalized_Q)
   195454    0.043    0.000    0.043    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\array_ops.py:1530(<genexpr>)
    68179    0.042    0.000    0.042    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:50(_is_ref_dtype)
    32705    0.038    0.000    0.105    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6979(__exit__)
